order_id,product_id,add_to_cart_order,reordered
3332386,27,3,1
3332386,44,4,0
1114651,27,3,1
1114651,87,1,1
1532242,87,3,1
269866,30,3,0
269866,55,1,0
269866,86,3,0
2538226,44,2,1
2538226,34,4,1
1395521,27,1,0
1395521,96,3,1
3174904,72,1,1
3174904,4,4,0
894682,61,2,0
894682,14,5,0
894682,43,3,1
1537000,23,1,0
1537000,4,4,0
677670,87,3,1
677670,44,3,0
1303588,27,3,1
1303588,25,1,1
1303588,51,4,1
1360669,70,2,0
1360669,68,2,0
1360669,48,4,1
3121220,60,1,1
3121220,77,5,0
3121220,8,4,1
809480,56,4,0
809480,35,5,0
809480,6,5,0
1276087,43,1,0
1276087,95,5,0
1610831,44,4,0
1610831,88,3,0
627558,5,3,1
627558,59,4,0
627558,95,3,0
2633633,44,2,0
2633633,63,2,0
2633633,49,5,0
1738172,14,1,0
1738172,82,5,1
1738172,43,2,0
1935148,34,5,1
1935148,43,4,1
2063837,72,5,1
2063837,90,3,1
2063837,13,5,0
2810431,35,1,1
2810431,36,1,0
2414019,27,4,1
3115115,61,4,0
1043333,50,5,1
1043333,48,3,0
1854364,9,5,0
1338675,77,5,1
1338675,69,4,1
222537,61,3,1
222537,18,4,0
222537,56,5,0
1123990,2,5,1
2211357,68,2,1
2211357,47,5,0
2211357,5,1,1
712390,64,5,0
2430041,63,4,0
2430041,51,4,1
1386636,58,4,1
1386636,33,2,1
1386636,29,1,1
2021260,62,2,1
2021260,86,3,1
2021260,8,2,0
2436611,3,4,0
943975,9,1,0
943975,81,3,1
943975,16,5,1
2686384,45,5,0
2686384,20,3,0
2686384,62,5,1
2781191,44,3,0
2781191,7,2,1
1189525,39,5,0
1189525,56,2,1
1189525,94,4,0
1284846,9,5,1
2064360,75,5,1
2504940,9,2,1
2504940,70,2,1
3387371,13,3,0
1688718,92,2,0
1688718,33,1,1
2447099,48,3,0
2447099,96,2,0
2447099,62,2,0
1913279,8,4,1
3197153,21,4,0
3390478,80,2,1
2846585,26,1,0
2846585,1,5,1
3373609,100,4,1
3373609,9,1,0
3373609,50,5,0
2055768,75,2,1
2055768,39,4,1
2055768,96,2,0
1301567,56,4,1
418696,25,5,1
418696,11,3,1
238324,79,3,0
238324,3,2,0
1018603,1,3,0
1018603,49,2,0
1018603,23,1,0
3210154,2,1,1
3210154,75,2,0
3210154,90,5,0
2641681,35,4,0
2641681,25,1,0
2641681,35,2,1
3307013,85,1,0
3307013,32,2,1
3307013,53,2,1
938366,70,4,1
2062823,41,5,1
2062823,52,3,0
1607553,58,5,0
1878146,69,4,0
1878146,5,1,0
1878146,83,5,0
264361,77,2,1
264361,87,3,0
3194027,14,1,0
3194027,40,1,0
2959497,33,2,0
2959497,26,5,1
2959497,66,2,0
1803371,25,1,0
1803371,20,4,1
2136307,60,3,1
2136307,1,3,1
3168196,12,1,1
3168196,90,2,0
3168196,21,1,1
675648,66,2,0
675648,27,1,1
1429202,82,4,0
977925,99,1,1
1604274,13,4,0
1604274,37,5,0
2445443,89,5,0
560417,30,1,1
560417,51,1,0
560417,15,1,1
1797701,74,1,0
2423372,7,4,1
2423372,9,3,0
2423372,94,2,1
1330224,7,2,1
364749,53,2,1
364749,89,3,1
314162,69,1,1
960601,79,5,0
2283138,67,3,1
2283138,16,2,1
2283138,25,2,0
2571349,1,1,0
2571349,67,5,1
2135408,1,1,1
2135408,18,4,0
2224452,70,1,1
2952458,64,1,0
2952458,25,3,0
2052769,19,3,0
148415,14,4,1
148415,50,2,1
1052459,68,3,1
1509239,39,1,0
1984198,95,5,1
1984198,53,5,1
3285708,3,5,1
3285708,16,4,1
63386,13,2,1
63386,55,2,1
63386,13,3,0
2148067,56,2,1
2214380,59,5,0
2214380,47,3,0
2214380,34,1,1
3155442,93,5,0
3155442,25,4,0
2946757,36,2,0
2946757,77,5,0
2946757,88,4,1
3169650,82,3,0
3169650,7,4,0
3169650,36,1,0
2723546,59,3,0
1291555,24,2,0
1911072,67,4,0
1911072,89,2,0
1911072,82,4,0
1814872,81,1,1
1814872,90,2,0
1814872,55,5,1
3035336,69,5,0
719599,75,3,1
719599,99,5,1
719599,70,3,1
2904371,57,3,0
2904371,73,1,1
2904371,59,3,1
371482,34,2,0
2023705,59,5,0
2023705,86,2,1
2023705,50,3,0
2659551,11,5,1
1423399,98,1,1
1423399,40,2,1
1423399,59,3,0
3176193,71,5,1
1649337,21,5,0
1649337,45,3,0
1649337,59,3,1
1542627,75,5,0
1542627,14,3,0
2118186,34,1,1
2118186,94,1,1
746919,24,1,1
746919,4,5,1
1284965,94,3,1
1284965,79,2,1
1284965,53,1,1
438640,39,3,0
913181,18,5,1
307493,97,3,1
307493,39,4,0
1525528,39,3,0
1525528,55,4,1
1525528,12,3,0
2158364,70,1,1
2158364,14,1,0
1839915,28,2,0
835299,56,3,0
835299,25,3,0
1062850,36,5,1
1062850,23,5,0
1062850,12,1,0
2159281,84,4,1
2159281,78,5,0
2960556,90,1,1
2960556,73,4,1
2357856,62,2,0
2357856,15,4,1
2357856,48,5,1
1211988,5,5,1
1211988,23,2,1
1211988,29,5,1
661950,16,2,0
328201,67,1,1
328201,24,4,1
328201,46,5,1
2854833,46,1,0
2854833,71,2,1
2854833,39,1,0
2214954,83,1,1
2214954,97,4,1
199644,25,3,1
199644,73,5,0
199644,8,5,1
2203703,17,5,1
1296108,59,1,1
1195733,59,3,1
2187692,50,2,0
2187692,32,5,1
2187692,98,4,0
757292,48,3,1
757292,80,1,0
757292,15,3,1
2170490,71,2,1
2170490,20,5,1
3274394,5,1,1
3274394,86,4,1
3332020,60,3,1
3332020,45,2,1
2097478,78,2,1
2097478,70,2,0
2097478,23,5,0
3070127,79,2,1
197520,55,1,1
197520,31,3,0
197520,28,5,0
2649141,15,5,0
1684431,38,3,0
1684431,83,2,1
1684431,20,2,1
2033890,4,4,0
2617445,5,3,0
2617445,10,3,1
2272307,66,1,1
279635,64,3,0
279635,21,3,1
279635,91,4,0
1724213,24,2,0
1724213,45,5,0
1724213,57,3,1
2768155,51,5,1
1533085,86,4,1
1533085,76,1,1
65248,59,4,1
65248,14,4,1
1712186,73,1,1
1712186,4,3,1
1712186,84,4,0
2284390,46,5,1
2284390,83,3,0
2284390,66,5,1
1452678,11,2,0
2038724,86,1,0
2067930,73,5,1
331709,75,1,0
331709,70,4,1
331709,84,2,1
1099723,58,4,0
1099723,37,4,0
1099723,44,5,1
1739633,23,1,1
1739633,80,1,0
1875209,16,3,1
1875209,82,1,1
1875209,42,3,1
770706,93,2,0
770706,27,5,0
1984100,34,5,0
1984100,49,1,0
1076096,68,1,0
804067,42,3,1
804067,22,4,0
804067,97,1,1
58999,92,3,0
58999,82,4,1
58999,85,4,1
2193623,93,1,1
2193623,95,2,0
2913239,7,5,0
2913239,6,5,0
2913239,88,5,0
2707513,4,5,1
2689164,32,3,1
1057173,99,2,1
1833850,55,4,0
815040,82,5,1
815040,28,2,1
2047715,70,5,0
1800435,67,2,1
1800435,79,5,0
849537,68,4,0
849537,61,2,1
849537,19,1,0
1774968,59,5,1
955387,77,5,0
764606,48,2,0
3169911,38,5,1
3169911,5,1,0
3169911,55,3,0
2784319,39,4,0
2784319,67,2,0
2784319,76,2,0
422860,45,4,0
3091555,8,1,0
3091555,35,2,1
2583025,72,5,1
2583025,53,5,1
3047242,56,3,0
3047242,55,1,0
1330260,91,2,1
1330260,66,1,1
1210254,83,3,0
1210254,65,3,1
1210254,34,2,1
3301846,81,1,0
3301846,62,3,1
3301846,7,4,1
1114401,51,3,1
1031290,64,4,0
2851717,51,1,0
2851717,99,2,1
2851717,72,2,1
2130886,61,2,1
318854,91,1,0
318854,31,3,0
318854,4,4,1
1966302,43,1,1
1966302,37,5,0
3245570,45,1,0
3254131,67,3,1
3254131,78,3,1
3254131,87,4,0
1588034,86,1,1
1588034,16,2,0
901487,2,5,0
901487,70,1,1
3269338,57,5,1
3269338,1,3,1
3269338,69,1,1
3285665,68,1,0
491331,23,3,0
491331,2,1,1
39869,48,3,1
39869,55,4,1
871741,29,3,1
871741,2,1,1
871741,69,5,0
1775047,46,2,0
1775047,58,2,1
3262441,51,1,0
3262441,29,1,0
849061,70,4,0
849061,55,5,1
3303853,59,5,0
288118,88,3,1
288118,92,4,0
288118,82,1,0
1297423,30,5,1
1297423,33,4,1
1297423,89,5,1
2243972,83,5,0
3339225,98,2,1
3339225,8,4,1
3339225,41,1,1
2254156,22,4,0
791443,96,5,1
659696,47,4,0
804027,41,4,1
804027,100,2,1
804027,52,5,1
2903636,20,1,1
2903636,56,5,1
2903636,47,2,1
145052,49,2,0
1311134,80,5,1
1311134,61,4,0
1311134,40,2,0
518926,40,2,1
518926,95,2,1
1176535,18,3,1
1176535,53,3,1
2553973,33,4,1
2553973,8,2,0
2553973,29,3,1
1070110,96,4,0
1070110,14,2,0
1070110,100,4,1
1587867,88,3,1
1587867,82,1,0
1587867,83,5,1
1526583,99,4,1
1526583,24,3,0
1012497,72,3,1
1012497,63,2,1
408239,67,5,0
3287207,5,1,1
3287207,34,4,0
3287207,40,1,0
2294931,85,2,1
2294931,84,2,1
2294931,34,3,1
2740999,66,4,1
136382,57,4,0
136382,84,1,0
136382,45,2,1
2470637,78,3,1
2470637,51,4,1
2470637,31,4,0
2241167,95,5,0
2241167,64,4,0
2081700,63,1,1
1569498,53,2,0
1569498,8,3,1
1641910,57,2,1
1641910,68,1,0
2438858,38,2,1
2705936,19,2,1
2705936,42,4,0
2321909,57,4,0
2321909,98,4,1
2741038,68,4,1
1037512,94,1,1
1946195,9,1,0
656633,94,1,1
656633,51,5,0
3093754,57,4,1
3093754,98,4,1
3093754,20,5,0
687999,76,3,1
687999,48,3,1
2707903,81,5,1
2707903,70,2,0
2707903,46,1,0
1528991,7,1,1
1528991,50,4,0
1039783,91,3,1
1039783,23,2,1
1039783,57,3,0
413679,59,3,0
413679,97,1,0
2087237,64,2,0
2087237,91,1,0
2087237,86,3,1
3370281,63,2,1
1315055,44,3,1
260531,45,3,0
260531,14,3,0
487279,98,3,1
1707138,43,5,1
1707138,81,1,1
1707138,80,2,0
959845,82,1,1
959845,84,5,1
959845,70,4,1
605594,45,1,0
605594,25,2,1
605594,87,1,0
1697885,95,3,0
3089853,35,5,0
3089853,60,2,0
3035420,82,1,1
1565512,88,5,1
1565512,68,5,1
1565512,34,2,0
1350601,66,2,0
1350601,13,1,0
1350601,3,5,0
824267,96,1,0
824267,46,2,1
1125588,28,4,0
1125588,49,1,1
1125588,32,5,0
2503724,62,2,0
2503724,7,5,0
3137665,53,1,0
3137665,7,4,0
3137665,66,2,0
1972292,68,2,1
1972292,25,2,1
2517759,74,3,0
2517759,2,2,1
2517759,59,1,0
3091059,76,2,0
3091059,5,1,1
2446514,27,3,1
2464754,96,4,1
3036248,71,5,1
1650356,9,5,0
1650356,35,2,1
2662137,68,2,0
2662137,19,4,1
968046,69,1,1
968046,47,4,1
955981,34,2,1
1932410,100,5,1
1932410,14,2,1
133457,55,4,1
133457,57,1,1
133457,62,5,0
1079210,71,3,1
1079210,92,1,1
140860,7,2,0
140860,91,1,0
288749,33,5,0
288749,60,5,1
616317,89,5,1
616317,89,2,1
616317,34,3,0
189154,98,1,0
189154,60,5,0
189154,20,1,0
1274258,24,1,1
1274258,78,4,0
29361,44,2,0
29361,60,1,0
29361,30,3,0
2430213,33,5,1
2430213,23,2,1
285582,41,4,1
218863,3,3,1
218863,5,4,1
3365246,95,2,0
3365246,74,1,1
3030490,41,2,1
3030490,14,1,1
1417836,67,4,1
3354197,43,5,0
3354197,27,4,1
3354197,90,3,0
2120887,57,3,0
2120887,34,5,0
2044325,59,5,0
3387444,55,2,1
123933,90,2,1
123933,81,4,1
3004979,97,5,1
2010990,79,1,1
650345,94,2,1
650345,23,3,0
650345,60,5,1
972741,41,1,1
2032080,83,3,1
2032080,65,2,1
2032080,97,3,0
3038129,58,3,0
3038129,55,1,0
3038129,64,1,0
1131121,14,2,1
1917457,26,5,0
1917457,67,4,0
1917457,79,3,1
1403480,6,4,0
1403480,87,5,1
2486165,53,2,1
2486165,93,4,1
3290275,54,4,1
2056235,40,5,1
2056235,16,5,0
2056235,65,5,1
1291443,49,5,0
2547216,77,1,0
2547216,49,4,1
2547216,5,4,1
313673,98,3,0
313673,7,3,0
313673,1,2,1
230828,31,1,1
230828,34,2,0
1957565,14,2,1
1072550,89,4,1
1072550,57,4,1
1948866,83,3,0
1948866,71,5,0
1461214,24,3,1
1461214,15,4,0
1461214,54,3,1
1411524,52,4,1
1411524,17,5,0
1694089,23,3,0
1694089,18,5,1
1694089,39,3,0
1835836,46,2,1
1835836,80,3,1
2997662,85,1,0
2997662,94,4,0
2997662,36,2,0
1455187,36,3,1
766766,65,2,1
766766,50,2,1
1104906,100,3,1
1104906,38,4,1
2953637,63,2,0
2953637,26,4,1
2953637,72,2,0
2247874,84,2,0
2247874,88,3,0
2111888,11,5,0
2111888,47,5,0
2772526,2,4,0
460532,88,3,1
460532,66,4,1
2219089,54,2,1
2219089,8,2,1
2219089,66,2,0
1393686,29,3,1
1393686,92,3,0
1393686,11,5,1
50221,16,1,1
50221,53,4,1
50221,31,1,0
1893959,65,1,1
1893959,50,5,1
1430205,51,4,0
1430205,81,2,1
1430205,21,5,1
3041491,38,1,1
240861,41,1,1
240861,98,1,0
2353454,69,4,0
2353454,21,5,0
2353454,52,3,0
105761,91,5,1
105761,94,2,1
249517,81,2,1
478381,11,4,1
683362,69,1,1
1267071,23,2,1
1291139,95,3,0
1291139,45,4,1
1157910,52,2,1
1157910,75,3,0
1157910,1,5,0
257566,55,3,1
418398,83,4,0
2067028,52,1,1
2067028,76,2,1
3056884,90,2,0
3056884,25,2,0
2652202,43,1,0
1833814,64,1,1
1833814,100,1,0
1833814,38,5,1
2996126,51,5,1
3383462,4,3,1
3383462,20,5,1
3383462,90,5,0
3255149,17,3,0
2176480,9,4,1
3059112,100,3,0
2298438,51,2,0
2298438,40,5,1
2669128,65,2,1
2669128,44,3,0
884662,98,3,0
884662,45,4,1
884662,74,4,1
887361,85,2,1
2704177,23,3,0
1083118,10,2,0
1083118,24,1,0
1083118,16,3,1
2653884,61,3,0
2653884,25,4,1
2637768,1,5,0
2637768,4,2,0
2375426,53,1,0
15258,20,1,0
15258,64,1,1
15258,97,5,1
148161,100,1,1
148161,36,5,1
57160,40,3,0
818728,65,2,1
818728,45,2,0
818728,92,3,0
187679,19,3,1
187679,26,4,1
1478421,56,3,0
2990662,71,3,0
2990662,47,5,0
281963,47,5,0
281963,13,5,0
281963,33,3,1
2040196,9,3,0
2040196,47,1,0
72068,38,2,0
981187,5,1,1
981187,52,1,1
1662289,3,3,0
1494067,61,5,1
1494067,58,3,1
3139045,35,1,1
3139045,61,1,0
2388326,74,5,0
2676469,75,2,0
2676469,83,2,1
1290000,75,4,1
1290000,7,5,0
1290000,65,5,1
1885876,62,5,0
1885876,5,5,0
1992632,99,2,1
2811718,66,5,1
1007245,86,2,0
1007245,16,4,0
1007245,30,4,1
3412304,97,2,0
3412304,39,5,0
3412304,59,3,0
253823,65,3,0
1241251,7,3,0
3359409,61,1,0
3359409,35,1,0
907604,53,3,0
907604,89,5,0
907604,31,5,0
1165751,67,1,1
1872340,87,5,1
954268,69,3,0
76976,71,4,0
2048620,5,3,0
2048620,14,2,0
2048620,76,4,1
2205445,83,2,1
2205445,50,2,1
2205445,29,2,1
1566223,3,1,0
215630,19,3,1
215630,89,1,1
3224454,26,1,1
3224454,55,4,0
3224454,3,4,1
1162701,67,2,0
3370629,89,3,1
1090486,45,4,0
1090486,39,4,1
1090486,25,2,0
1093786,42,2,0
1695168,72,5,0
1695168,48,3,1
458109,45,3,0
458109,23,4,1
1358481,72,1,1
1358481,18,2,1
1358481,31,3,0
312650,28,2,1
1226072,97,4,0
3346368,24,3,1
3341591,37,3,1
3341591,13,3,0
1732680,67,2,0
2731061,42,1,0
2731061,38,1,1
2731061,54,1,1
864962,59,2,1
3133392,47,1,1
3133392,12,5,1
3133392,51,4,1
2802825,39,5,0
2607701,76,5,1
2607701,84,5,1
2607701,23,3,1
1713434,34,3,1
1713434,75,4,1
1795954,14,4,1
1795954,88,3,0
3290445,73,5,0
3290445,65,3,0
2263187,96,2,0
2263187,70,2,1
1389639,82,1,0
1389639,20,2,0
1389639,3,1,0
1541108,40,3,0
3222017,89,4,0
1580184,45,4,0
1580184,37,2,1
1580184,25,2,1
1397,41,4,1
2561643,84,4,0
2561643,7,3,1
2561643,36,5,0
187527,100,2,1
187527,68,2,1
3380328,39,4,0
3380328,99,1,1
3201558,50,1,0
3201558,57,4,0
3345174,4,1,1
2127858,69,1,0
539698,67,2,0
539698,40,2,0
1726019,60,3,0
1726019,67,5,1
3072520,82,5,0
3072520,23,1,1
224178,70,2,1
1751869,63,2,1
1751869,71,2,0
1332866,32,1,1
1332866,71,5,1
1332866,100,5,0
467962,69,4,1
467962,93,4,0
467962,52,2,1
2702641,67,2,0
2461975,46,3,0
2461975,8,3,1
2461975,45,4,1
3405920,11,4,1
3405920,83,3,1
3405920,31,1,1
2436435,34,2,1
2436435,40,1,0
2436435,89,3,1
337231,49,1,1
337231,79,3,1
963676,100,1,0
963676,16,5,0
963676,56,5,1
350752,100,2,0
350752,79,5,1
403338,77,4,1
403338,14,1,1
403338,34,4,0
1088212,78,5,1
1088212,64,1,0
1782291,28,4,1
1782291,68,5,0
1782291,58,5,0
1298812,16,1,1
1298812,43,4,1
373154,47,3,0
2831640,62,3,0
133061,30,2,1
133061,91,5,0
133061,52,2,1
518988,61,4,1
518988,62,5,1
518988,29,5,1
840571,34,5,1
840571,33,4,0
840571,96,3,0
3074391,81,4,1
3074391,64,5,1
3074391,57,5,0
126727,27,1,0
1290405,4,4,0
1074437,87,1,0
1074437,33,5,0
2938801,60,5,0
1402236,70,3,0
1183827,77,1,1
1665257,1,2,0
1665257,13,1,1
2257605,97,1,1
2257605,10,2,0
2009990,85,3,1
2009990,29,5,0
2782852,33,5,1
1971799,83,2,1
85528,41,4,1
85528,10,4,1
3348725,86,2,0
1175599,69,4,1
1175599,24,4,0
590798,27,2,0
2460364,35,4,1
2460364,33,3,0
2460364,85,5,0
2786841,27,2,0
1527298,45,5,1
1283894,32,1,1
1283894,37,4,0
1283894,26,5,1
2586084,84,2,1
2586084,34,5,0
1469324,65,5,1
2782538,67,3,0
2782538,69,4,0
2782538,38,4,0
433271,44,4,0
433271,38,5,0
433271,36,1,1
2881196,94,5,1
2881196,84,1,1
3245297,29,1,0
2284531,37,2,0
2284531,92,3,1
2284531,23,3,1
2082831,68,3,0
2082831,7,2,0
2082831,61,2,1
2920802,66,2,0
2920802,72,5,0
2730397,60,5,1
2051431,82,3,1
2051431,44,2,1
2051431,84,5,0
2263634,79,5,0
2692573,89,3,0
2692573,65,4,1
2692573,94,2,1
1202087,9,2,0
3012119,84,5,0
3012119,72,5,1
3012119,8,4,0
1416625,5,4,1
2612762,72,5,0
984660,90,2,0
984660,79,5,1
984660,49,4,0
2326734,70,3,1
2326734,78,2,0
2326734,96,3,0
1808894,58,2,0
1808894,31,5,1
2035844,52,3,1
772780,41,4,0
874531,67,1,0
874531,70,4,0
874531,80,1,0
2523276,48,1,1
2523276,84,4,1
2523276,48,1,1
758010,93,3,0
758010,95,2,1
1431371,35,2,0
1431371,60,5,1
3145026,94,4,0
649645,41,1,0
649645,4,4,1
649645,71,3,0
203829,31,3,0
203829,45,5,1
1153539,29,5,0
1458468,40,4,0
361561,18,3,0
2742741,62,1,0
569515,10,5,1
1142488,99,3,0
1142488,54,5,1
2661141,30,2,1
2661141,73,5,0
2834432,2,2,0
2834432,2,5,0
986839,79,5,1
986839,3,1,0
986839,70,5,1
1821648,44,4,0
1821648,38,3,1
1821648,29,4,0
2176968,100,5,1
120727,8,2,1
969871,79,4,0
969871,66,5,1
1052540,83,1,0
1052540,99,5,0
1262632,6,2,1
2292778,9,5,0
1415491,8,2,0
2594880,2,1,1
390920,89,2,1
638056,75,1,0
638056,91,1,1
523330,52,3,0
2195278,11,4,0
922357,83,2,1
2665266,29,4,1
2665266,18,5,0
666029,71,2,0
3419130,82,3,1
3419130,36,1,1
3381378,49,5,1
3381378,97,4,1
3381378,84,2,1
915892,81,4,0
915892,75,3,0
95373,72,4,1
1680378,37,2,1
967780,20,2,1
967780,85,3,1
920839,31,5,0
580784,14,1,1
580784,78,4,1
2949766,81,4,1
2764703,44,3,0
3323863,80,3,1
1045083,47,1,1
785309,56,3,0
785309,73,3,0
785309,18,2,0
182513,62,1,0
2776217,67,3,0
1628544,7,4,1
1628544,23,1,1
1628544,2,2,0
2255982,58,3,1
1988189,13,5,1
1988189,39,5,0
1988189,37,5,1
2671986,21,4,1
2671986,31,4,1
2671986,27,4,1
2102961,85,2,0
1590819,5,4,0
1590819,92,3,0
823420,98,2,1
823420,96,4,1
823420,97,2,0
351017,78,4,1
351017,58,4,1
78643,5,3,1
78643,17,5,1
78643,82,1,1
2646476,98,2,1
2646476,54,2,1
1083332,100,4,1
1083332,31,3,1
3367719,4,5,1
3367719,84,3,1
1512644,36,3,1
1512644,31,1,1
1512644,64,4,1
921325,39,5,0
921325,40,3,0
921325,73,5,1
2316792,91,3,1
405551,7,1,0
405551,99,4,1
405551,89,4,0
1446349,17,2,0
1446349,85,1,0
592241,38,4,1
592241,62,5,0
2369861,25,3,0
922779,69,4,0
2462040,57,4,1
2462040,55,4,0
2462040,74,1,0
362497,46,2,0
2112695,8,3,0
1817063,3,3,0
1817063,18,1,0
715351,24,2,1
1835210,69,3,1
1140891,35,3,1
1140891,58,1,0
359892,18,1,0
359892,88,5,0
359892,55,1,1
2209929,46,2,0
2206990,85,2,1
2206990,78,3,0
2587590,72,4,1
3396091,56,5,0
3396091,95,5,1
145656,99,4,1
145656,85,3,0
145656,7,2,0
2986270,49,1,0
177221,17,2,0
177221,43,4,0
110611,25,2,0
899280,45,3,1
899280,35,4,0
899280,62,4,0
523788,55,2,1
1803749,29,4,1
265617,56,2,0
265617,64,2,0
1413625,76,4,0
1413625,36,4,1
1413625,46,1,1
3321491,27,1,0
3321491,35,4,0
3321491,35,3,0
2158362,9,5,0
2158362,31,5,0
2258193,87,3,0
2258193,57,5,0
454987,71,3,0
454987,12,3,0
454987,85,4,0
825599,4,2,0
1770187,61,3,0
2059490,21,5,0
2682302,26,1,1
2682302,55,5,0
2530789,88,1,0
2530789,37,1,1
2530789,20,3,0
1377404,94,3,1
1377404,45,1,0
1377404,66,5,0
255894,76,3,0
255894,26,5,1
3074872,15,5,1
3074872,83,3,0
