"order_id","user_id","eval_set","order_number","order_dow","order_hour_of_day","days_since_prior_order"
646,76803,"prior",4,1,11,10
300,76870,"prior",13,6,17,4
785,77133,"prior",5,0,20,3
252,78634,"prior",7,3,18,7
584,78727,"prior",2,6,19,6
571,78998,"prior",5,1,11,9
49,79165,"prior",14,1,22,7
450,79317,"prior",19,1,8,5
509,79643,"prior",6,1,9,3
658,80981,"prior",6,2,7,7
879,81339,"prior",8,2,11,5
478,81461,"prior",3,0,12,8
29,81606,"prior",14,5,12,10
249,81951,"prior",3,6,8,6
598,81979,"prior",4,6,9,8
958,82288,"prior",3,1,23,7
808,82414,"prior",7,3,9,1
743,82598,"prior",72,3,7,1
247,82764,"prior",15,5,10,22
19,83009,"prior",7,5,17,13
487,83068,"prior",61,0,10,1
66,83434,"prior",15,0,15,5
82,83499,"prior",20,1,13,3
212,83727,"prior",17,1,6,5
380,83896,"prior",3,5,17,26
179,84068,"prior",4,6,18,4
784,84440,"prior",13,0,13,4
986,84549,"prior",19,2,11,8
632,84859,"prior",20,3,8,6
594,84876,"prior",2,1,22,28
737,84980,"prior",3,1,17,8
768,85120,"prior",17,0,12,3
655,85219,"prior",28,3,20,5
41,85264,"prior",20,2,11,21
366,85359,"prior",25,0,14,5
761,85484,"prior",3,1,16,30
501,86142,"prior",40,2,12,16
952,86669,"prior",2,4,17,4
109,86865,"prior",20,0,9,17
401,86884,"prior",19,1,9,6
935,87136,"prior",11,4,18,5
556,87144,"prior",2,4,10,30
697,87185,"prior",5,0,19,0
826,87810,"prior",2,3,9,23
495,87872,"prior",7,2,11,30
53,87889,"prior",5,4,20,3
711,87889,"prior",18,1,11,17
141,88362,"prior",32,4,10,3
161,88526,"prior",11,1,23,19
21,88772,"prior",13,2,12,5
42,89125,"prior",11,0,20,3
283,89598,"prior",10,1,13,2
837,89900,"prior",8,6,13,7
494,90250,"prior",7,6,17,14
779,90709,"prior",18,1,16,5
608,91030,"prior",11,3,21,12
551,91201,"prior",21,1,10,28
981,91324,"prior",17,5,13,5
793,91593,"prior",2,1,14,12
77,91667,"prior",19,1,11,5
114,91891,"prior",1,0,11,NA
286,91926,"prior",2,1,12,30
54,91977,"prior",2,3,15,30
296,92052,"prior",36,1,17,0
463,92093,"prior",18,1,17,5
238,92123,"prior",4,6,9,4
961,92385,"prior",4,2,14,6
197,92707,"prior",52,5,20,7
121,93455,"prior",30,1,11,4
264,93764,"prior",30,5,15,21
540,93962,"prior",8,0,9,22
601,94143,"prior",1,6,12,NA
50,94330,"prior",25,1,13,4
652,94596,"prior",15,5,13,9
875,94977,"prior",31,1,9,8
256,95044,"prior",14,5,13,13
603,95063,"prior",87,6,12,10
622,95549,"prior",4,0,16,6
880,95838,"prior",29,4,10,5
669,96183,"prior",25,3,12,4
350,96296,"prior",45,3,14,7
180,96385,"prior",20,6,19,7
78,96511,"prior",3,2,15,15
68,96594,"prior",3,3,10,30
234,96828,"prior",55,1,12,9
246,97039,"prior",7,3,4,3
155,97415,"prior",8,2,12,2
331,97427,"prior",1,6,17,NA
236,97664,"prior",2,0,12,10
870,97917,"prior",7,0,12,14
423,97970,"prior",20,4,16,7
28,98256,"prior",29,3,13,6
642,98841,"prior",5,1,14,21
534,99415,"prior",5,4,16,19
123,99471,"prior",17,5,12,6
531,99518,"prior",2,6,18,2
266,99546,"prior",2,5,7,28
772,99707,"prior",67,4,12,1
854,99802,"prior",22,5,13,5
215,100052,"prior",1,1,11,NA
519,100101,"prior",11,2,14,30
227,100142,"prior",35,1,21,2
207,100208,"prior",3,5,14,6
287,100513,"prior",3,1,13,5
532,100845,"prior",7,2,15,2
965,100993,"prior",31,0,21,0
960,101021,"prior",30,5,18,4
466,101150,"prior",47,3,10,6
412,101249,"prior",5,3,21,15
310,101311,"prior",2,3,10,10
88,102020,"prior",4,0,11,7
319,102031,"prior",6,4,21,7
924,102115,"prior",13,2,17,9
111,102275,"prior",6,3,17,25
621,102288,"prior",25,1,7,4
216,102339,"prior",94,5,15,2
679,102514,"prior",14,4,14,3
859,103018,"prior",7,6,15,6
152,103040,"prior",12,1,10,7
462,103166,"prior",4,5,18,4
183,104879,"prior",38,5,9,4
592,105010,"prior",3,0,8,21
741,105105,"prior",6,2,14,1
457,105560,"prior",16,1,16,30
89,105579,"prior",47,0,15,2
932,106113,"prior",6,1,17,30
930,106143,"prior",24,6,12,4
75,106387,"prior",1,5,19,NA
436,106876,"prior",29,6,11,7
914,107093,"prior",7,1,11,9
713,107098,"prior",17,4,16,7
897,107447,"prior",10,2,22,13
99,108185,"prior",2,6,14,11
824,108666,"prior",29,0,11,5
434,108854,"prior",12,5,9,8
689,108932,"prior",16,1,13,3
318,108940,"prior",23,4,22,8
850,109048,"prior",5,6,13,18
224,109534,"prior",6,0,14,13
277,109712,"prior",4,0,1,7
505,110754,"prior",4,1,16,30
384,110980,"prior",33,3,11,6
876,111344,"prior",1,3,15,NA
739,111451,"prior",27,5,12,2
156,111475,"prior",7,6,22,20
798,111550,"prior",75,3,9,2
448,111664,"prior",9,5,19,12
217,112125,"prior",2,0,8,21
834,112278,"prior",7,5,18,14
927,112606,"prior",2,1,12,22
816,112686,"prior",9,0,15,1
778,113167,"prior",26,0,13,17
574,113517,"prior",19,6,10,6
872,113526,"prior",5,6,6,6
547,113831,"prior",6,4,11,9
956,114097,"prior",20,6,15,9
681,114191,"prior",8,1,18,5
860,114223,"prior",5,1,18,30
483,115184,"prior",30,1,11,11
69,115481,"prior",16,3,12,3
204,115481,"prior",74,6,9,3
698,115540,"prior",31,5,21,3
163,115844,"prior",16,2,14,0
748,116022,"prior",19,0,23,7
922,116331,"prior",18,2,15,4
391,116932,"prior",6,1,17,1
168,117132,"prior",18,5,15,2
972,117174,"prior",33,5,13,17
858,117961,"prior",1,6,11,NA
938,118129,"prior",5,0,10,7
710,118558,"prior",7,1,12,0
18,118860,"prior",3,4,20,6
966,118986,"prior",13,5,16,15
116,119087,"prior",25,6,18,0
421,119095,"prior",1,0,23,NA
989,119114,"prior",12,0,14,8
271,119186,"prior",7,0,18,27
32,119216,"prior",4,1,19,11
852,119249,"prior",2,5,20,19
970,119437,"prior",42,0,8,8
830,119835,"prior",89,0,15,2
33,119866,"prior",6,1,18,21
959,119941,"prior",2,6,13,21
343,120226,"prior",8,2,10,16
653,120475,"prior",2,2,13,15
714,120615,"prior",2,3,15,0
364,120742,"prior",29,2,11,5
549,120786,"prior",4,2,21,8
894,120895,"prior",17,2,9,2
662,120923,"prior",39,3,10,1
410,121327,"prior",34,2,14,5
376,121858,"prior",11,5,16,14
811,121906,"prior",36,5,17,5
847,121984,"prior",18,4,6,2
63,122048,"prior",21,0,13,4
262,122266,"prior",2,5,19,15
908,122962,"prior",19,0,12,15
806,123170,"prior",8,1,15,6
883,123765,"prior",30,3,8,7
886,123819,"prior",15,0,7,9
485,124536,"prior",15,3,8,7
115,124725,"prior",13,0,9,8
321,125272,"prior",36,1,12,17
579,125944,"prior",5,0,13,7
309,126109,"prior",17,5,10,30
910,126435,"prior",2,0,16,30
150,126892,"prior",4,4,12,2
429,126918,"prior",2,0,9,7
122,127081,"prior",16,2,1,5
272,127211,"prior",10,5,14,4
55,127522,"prior",8,4,14,5
942,127773,"prior",7,5,16,4
488,127848,"prior",22,1,19,4
635,127975,"prior",9,0,16,5
70,128213,"prior",2,6,15,4
374,128335,"prior",7,2,18,2
378,128710,"prior",66,5,9,2
898,128894,"prior",11,6,7,7
113,128979,"prior",2,3,12,30
538,129024,"prior",17,0,10,11
27,129389,"prior",16,6,20,14
345,129475,"prior",16,2,10,6
93,130239,"prior",15,6,10,19
225,130657,"prior",9,1,9,22
760,130749,"prior",9,3,15,3
143,130982,"prior",7,0,16,7
925,131093,"prior",94,1,10,2
836,131119,"prior",2,5,18,3
241,131535,"prior",2,2,18,13
660,131699,"prior",15,5,13,1
332,131796,"prior",9,6,9,7
441,132697,"prior",5,1,13,7
994,132836,"prior",22,5,16,30
800,132856,"prior",3,5,7,3
996,132877,"prior",1,1,15,NA
512,133066,"prior",12,2,16,2
566,133183,"prior",4,1,19,11
193,133810,"prior",8,0,11,7
992,133810,"prior",57,0,12,4
315,133849,"prior",33,2,16,3
941,134625,"prior",18,0,7,25
10,135442,"prior",4,6,8,8
649,135836,"prior",1,4,7,NA
664,135845,"prior",4,0,12,7
627,135886,"prior",41,4,18,6
118,136173,"prior",20,4,21,3
585,137128,"prior",5,0,18,7
59,137346,"prior",8,1,19,11
288,137357,"prior",41,2,7,5
717,137387,"prior",15,0,13,30
647,137453,"prior",45,3,16,1
230,137575,"prior",7,2,9,7
431,137716,"prior",39,1,11,8
536,138768,"prior",1,1,9,NA
648,138800,"prior",28,6,0,6
9,139016,"prior",14,0,19,5
787,139178,"prior",59,5,18,1
810,139365,"prior",45,6,14,3
265,139432,"prior",38,0,9,9
498,139602,"prior",10,1,14,12
467,140348,"prior",8,6,10,22
716,140474,"prior",2,6,8,8
455,140595,"prior",10,1,15,5
357,140609,"prior",9,5,17,2
794,141026,"prior",23,0,15,8
181,141062,"prior",19,0,16,15
107,141357,"prior",33,3,20,6
546,141401,"prior",18,2,11,4
533,141438,"prior",7,6,18,11
829,141625,"prior",7,1,10,7
781,142038,"prior",1,2,14,NA
715,142186,"prior",8,0,11,4
928,142284,"prior",47,3,22,0
725,142872,"prior",10,1,17,9
7,142903,"prior",11,2,14,30
953,143108,"prior",45,6,12,1
789,143268,"prior",1,4,21,NA
919,143506,"prior",24,4,11,7
356,143707,"prior",35,2,13,1
11,143742,"prior",4,1,19,23
284,143768,"prior",33,4,23,2
199,143951,"prior",5,3,10,16
588,145181,"prior",11,2,15,6
222,145501,"prior",27,1,11,8
422,146023,"prior",21,5,15,6
694,146044,"prior",8,2,8,8
863,146499,"prior",2,5,15,30
702,146600,"prior",81,3,7,3
425,146671,"prior",15,1,11,30
944,146752,"prior",2,0,11,12
801,146802,"prior",6,6,19,6
486,146875,"prior",11,2,16,6
645,146921,"prior",6,2,8,30
856,146969,"prior",3,1,16,24
139,146988,"prior",10,6,18,7
426,147194,"prior",38,5,15,7
231,147443,"prior",2,1,18,30
823,147520,"prior",5,3,10,8
602,147552,"prior",5,4,23,6
868,147578,"prior",3,6,23,5
132,147650,"prior",10,6,12,30
929,147801,"prior",27,3,13,9
373,148175,"prior",16,6,17,30
752,148177,"prior",6,3,13,22
792,148306,"prior",19,2,9,7
458,148347,"prior",2,2,12,10
751,148573,"prior",2,5,17,2
775,149156,"prior",3,5,8,16
776,149408,"prior",8,0,20,7
572,150255,"prior",2,4,13,30
548,150283,"prior",1,4,10,NA
305,150329,"prior",21,3,15,5
933,150555,"prior",9,2,6,6
58,150647,"prior",9,3,8,7
189,150723,"prior",5,3,16,6
742,150739,"prior",4,0,17,10
460,151207,"prior",3,5,13,27
644,151223,"prior",1,5,16,NA
524,152160,"prior",3,6,8,30
683,152537,"prior",3,0,15,30
73,152590,"prior",13,0,12,0
12,152610,"prior",22,6,8,10
923,152807,"prior",41,2,8,7
845,152992,"prior",3,5,8,30
563,153069,"prior",1,3,23,NA
557,153133,"prior",13,3,20,30
561,153285,"prior",7,1,16,15
26,153404,"prior",2,0,16,7
515,153416,"prior",17,1,12,14
261,153543,"prior",14,0,13,9
502,153628,"prior",22,5,17,3
690,154391,"prior",15,5,15,12
202,154766,"prior",8,1,8,4
251,155188,"prior",6,1,11,8
968,155209,"prior",64,5,17,3
440,155234,"prior",4,0,15,21
398,155472,"prior",2,2,11,30
87,155476,"prior",6,1,15,4
831,155741,"prior",6,6,14,20
328,156112,"prior",10,1,20,8
5,156122,"prior",42,6,16,9
228,156462,"prior",4,1,16,26
815,156505,"prior",56,6,15,4
946,157339,"prior",10,2,16,3
763,158164,"prior",16,5,13,2
874,158524,"prior",3,0,23,6
352,158641,"prior",7,2,18,6
695,158663,"prior",8,0,8,7
396,158728,"prior",9,0,15,3
773,159379,"prior",4,2,17,3
885,159872,"prior",11,0,13,7
985,160167,"prior",1,6,21,NA
589,160442,"prior",3,1,15,6
882,160538,"prior",13,5,20,8
394,160625,"prior",16,5,13,1
387,160646,"prior",13,1,14,14
901,160657,"prior",31,1,23,8
51,160959,"prior",6,0,10,7
106,161214,"prior",10,0,18,30
957,161508,"prior",4,1,10,8
346,161624,"prior",3,6,18,26
926,161700,"prior",6,2,13,7
420,161762,"prior",37,2,11,2
888,161885,"prior",22,3,9,12
464,162075,"prior",8,6,12,3
383,162083,"prior",39,6,11,10
133,162224,"prior",50,2,9,2
838,162374,"prior",3,6,14,26
165,162754,"prior",4,2,11,12
528,162968,"prior",16,5,13,1
341,163059,"prior",6,1,10,19
375,163102,"prior",43,4,17,1
674,163819,"prior",48,1,11,8
619,164110,"prior",40,1,16,17
407,164176,"prior",7,3,17,30
818,164319,"prior",6,3,14,29
335,164484,"prior",7,5,12,5
419,164717,"prior",6,3,16,4
765,164956,"prior",1,0,14,NA
520,165200,"prior",13,3,8,0
912,165294,"prior",89,4,14,1
821,165347,"prior",5,6,9,30
770,165709,"prior",11,4,0,2
676,165814,"prior",18,0,17,7
607,166458,"prior",4,0,15,30
86,166645,"prior",9,6,22,4
390,166654,"prior",48,0,12,9
306,166655,"prior",33,2,14,10
843,166894,"prior",9,5,15,6
525,167046,"prior",5,2,12,15
242,167125,"prior",11,4,13,7
451,167271,"prior",24,2,16,9
186,167393,"prior",1,0,16,NA
638,167982,"prior",45,6,14,6
293,168853,"prior",2,4,9,4
244,168855,"prior",37,6,18,9
312,169114,"prior",21,4,19,4
620,169324,"prior",6,5,13,19
129,169467,"prior",7,4,18,3
223,169586,"prior",40,0,9,2
987,170433,"prior",1,4,9,NA
805,170539,"prior",40,0,8,7
974,170580,"prior",4,1,14,22
685,170906,"prior",2,1,7,10
523,171041,"prior",8,5,15,2
273,171199,"prior",9,0,14,11
911,172302,"prior",3,2,12,4
405,172653,"prior",27,6,13,16
48,172786,"prior",5,2,0,30
185,172793,"prior",72,3,1,2
738,173328,"prior",11,1,11,9
731,173379,"prior",15,0,19,1
677,173442,"prior",8,2,19,22
896,173624,"prior",36,1,16,3
544,173861,"prior",34,5,20,6
447,173924,"prior",36,4,14,7
314,174117,"prior",4,5,8,12
443,174206,"prior",42,1,12,3
703,174262,"prior",10,5,17,9
797,174342,"prior",2,4,8,6
782,174741,"prior",34,2,10,8
16,174840,"prior",18,3,12,13
976,174934,"prior",39,0,18,21
727,175023,"prior",7,1,17,18
869,175108,"prior",15,0,11,7
978,175330,"prior",1,5,16,NA
97,175918,"prior",13,0,13,27
308,176010,"prior",8,0,17,10
921,176010,"prior",13,1,13,18
839,176212,"prior",6,0,15,7
191,176417,"prior",44,3,2,6
388,176698,"prior",17,0,13,8
934,176946,"prior",13,0,21,30
196,177113,"prior",6,0,16,24
659,177324,"prior",15,5,10,7
449,177340,"prior",7,3,17,30
307,177808,"prior",2,4,11,10
221,177947,"prior",1,5,8,NA
372,178268,"prior",3,5,16,3
4,178520,"prior",36,1,9,7
891,178864,"prior",8,2,15,10
105,178958,"prior",27,4,10,30
