customerId,name,age,accountTenureDays,avgSessionMinutes,marketingOptIn
C0102,Customer 102,27,404,12.8,0
C0103,Customer 103,41,366,7.82,1
C0104,Customer 104,52,1261,9.54,1
C0105,Customer 105,31,1265,8.28,0
C0106,Customer 106,37,1281,8.56,0
C0107,Customer 107,38,956,8.85,1
C0108,Customer 108,46,834,1.14,1
C0109,Customer 109,38,974,9.45,0
C0110,Customer 110,60,610,3.62,0
C0111,Customer 111,36,1005,4.47,1
C0112,Customer 112,42,1191,6.66,0
C0113,Customer 113,39,1144,18.99,0
C0114,Customer 114,28,921,2.71,0
C0115,Customer 115,57,88,6.48,1
C0116,Customer 116,31,1087,5.43,0
C0117,Customer 117,34,550,12.67,0
C0118,Customer 118,63,1115,5.31,0
C0119,Customer 119,72,809,7.89,1
C0120,Customer 120,56,1321,2.72,0
C0121,Customer 121,70,508,14.15,0
C0122,Customer 122,66,1397,1.7,0
C0123,Customer 123,45,1266,9.36,1
C0124,Customer 124,61,497,7.92,1
C0125,Customer 125,36,724,8.79,1
C0126,Customer 126,44,797,1.73,0
C0127,Customer 127,48,1153,5.22,1
C0128,Customer 128,72,1034,12.25,0
C0129,Customer 129,66,1278,20.89,1
C0130,Customer 130,45,555,6.12,0
C0131,Customer 131,55,757,11.46,1
C0132,Customer 132,29,646,7.36,1
C0133,Customer 133,63,1364,6.37,0
C0134,Customer 134,49,458,4.75,1
C0135,Customer 135,48,881,6.68,0
C0136,Customer 136,61,181,10.76,0
C0137,Customer 137,54,1275,11.38,0
C0138,Customer 138,22,576,2.11,1
C0139,Customer 139,34,511,4.4,0
C0140,Customer 140,28,874,2.6,1
C0141,Customer 141,59,748,6.94,1
C0142,Customer 142,20,1272,5.07,1
C0143,Customer 143,29,797,8.58,1
C0144,Customer 144,52,775,9.01,0
C0145,Customer 145,57,158,0.56,1
C0146,Customer 146,46,33,6.64,0
C0147,Customer 147,67,598,14.87,1
C0148,Customer 148,70,1497,4.4,0
C0149,Customer 149,25,1376,4.3,1
C0150,Customer 150,72,943,13.17,1
C0151,Customer 151,53,946,11.75,1
C0152,Customer 152,54,587,2.85,0
C0153,Customer 153,23,267,10.96,1
C0154,Customer 154,53,13,3.45,0
C0155,Customer 155,59,508,4.26,0
C0156,Customer 156,51,475,2.85,0
C0157,Customer 157,22,288,2.09,1
C0158,Customer 158,47,389,7.25,1
C0159,Customer 159,71,38,1.78,1
C0160,Customer 160,59,912,7.47,0
C0161,Customer 161,25,1391,7.3,0
C0162,Customer 162,72,1036,5.9,1
C0163,Customer 163,72,672,4.58,0
C0164,Customer 164,27,630,3.86,0
C0165,Customer 165,63,461,2.52,1
C0166,Customer 166,41,214,17.26,0
C0167,Customer 167,51,898,5.7,1
C0168,Customer 168,43,850,5.55,1
C0169,Customer 169,62,11,2.98,1
C0170,Customer 170,74,623,16.06,1
C0171,Customer 171,63,417,4.07,1
C0172,Customer 172,71,256,8.01,1
C0173,Customer 173,71,1054,9.16,0
C0174,Customer 174,23,789,7.25,0
C0175,Customer 175,32,951,1.74,0
C0176,Customer 176,59,1070,10.64,1
C0177,Customer 177,51,1472,4.04,1
C0178,Customer 178,20,1204,11.67,0
C0179,Customer 179,23,930,6.33,1
C0180,Customer 180,47,1318,9.56,0
C0181,Customer 181,53,716,15.36,1
C0182,Customer 182,27,1477,10.37,1
C0183,Customer 183,27,1142,9.73,1
C0184,Customer 184,25,976,10.98,0
C0185,Customer 185,50,1355,3.35,0
C0186,Customer 186,18,773,12.01,1
C0187,Customer 187,50,1081,5.36,1
C0188,Customer 188,45,427,5.5,1
C0189,Customer 189,44,1444,7.08,0
C0190,Customer 190,56,935,4.97,0
C0191,Customer 191,47,1173,2.75,0
C0192,Customer 192,59,691,6.68,1
C0193,Customer 193,61,1300,5.52,0
C0194,Customer 194,70,112,5.37,0
C0195,Customer 195,63,172,6.17,0
C0196,Customer 196,47,761,0.64,1
C0197,Customer 197,46,1098,5.4,1
C0198,Customer 198,31,1214,16.65,1
C0199,Customer 199,52,660,15.78,0
C0200,Customer 200,25,974,6.86,0
C0201,Customer 201,71,830,6.69,0
C0202,Customer 202,66,1442,0.43,0
C0203,Customer 203,24,981,4.24,1
C0204,Customer 204,62,625,10.9,1
C0205,Customer 205,24,1454,4.87,1
C0206,Customer 206,59,161,13.53,0
C0207,Customer 207,22,1476,12.98,0
C0208,Customer 208,45,231,4.17,1
C0209,Customer 209,55,433,7.25,0
C0210,Customer 210,59,1232,17.53,0
C0211,Customer 211,41,1100,1.7,0
C0212,Customer 212,70,1455,4.96,0
C0213,Customer 213,62,1125,1.52,1
C0214,Customer 214,29,955,3.14,1
C0215,Customer 215,56,520,20.97,0
C0216,Customer 216,59,8,4.96,1
C0217,Customer 217,37,186,0.87,0
C0218,Customer 218,60,447,2.73,0
C0219,Customer 219,69,62,1.35,0
C0220,Customer 220,64,762,7.46,1
C0221,Customer 221,61,1166,9.06,1
C0222,Customer 222,54,1444,12.13,1
C0223,Customer 223,33,735,10.5,0
C0224,Customer 224,63,1312,1.79,0
C0225,Customer 225,38,1478,8.74,1
C0226,Customer 226,48,1289,5.96,0
C0227,Customer 227,35,697,13.34,0
C0228,Customer 228,35,488,11.34,1
C0229,Customer 229,26,1466,22.78,1
C0230,Customer 230,72,363,2.94,0
C0231,Customer 231,26,617,2.56,0
C0232,Customer 232,22,111,4.46,1
C0233,Customer 233,71,1190,6.15,0
C0234,Customer 234,49,975,3.76,0
C0235,Customer 235,42,128,3.08,0
C0236,Customer 236,60,333,8.32,0
C0237,Customer 237,39,833,4.45,1
C0238,Customer 238,25,811,3.62,1
C0239,Customer 239,59,1203,1.78,1
C0240,Customer 240,28,399,0.49,0
C0241,Customer 241,49,1387,16.12,0
C0242,Customer 242,72,667,15.8,1
C0243,Customer 243,71,1234,11.58,0
C0244,Customer 244,38,358,9.75,1
C0245,Customer 245,62,56,4.11,1
C0246,Customer 246,52,83,10.04,0
C0247,Customer 247,45,559,2.39,1
C0248,Customer 248,25,1429,7.12,1
C0249,Customer 249,39,73,3.35,0
C0250,Customer 250,55,554,10.07,1
C0251,Customer 251,74,164,18.32,0
C0252,Customer 252,18,1397,2.72,1
C0253,Customer 253,58,1013,4.28,1
C0254,Customer 254,66,1144,7.02,0
C0255,Customer 255,72,1070,1.01,1
C0256,Customer 256,42,985,1.42,0
C0257,Customer 257,24,1160,17.97,1
C0258,Customer 258,33,13,8.35,1
C0259,Customer 259,66,1298,3.92,1
C0260,Customer 260,68,1110,6.47,1
C0261,Customer 261,54,1109,4.47,0
C0262,Customer 262,24,590,7.18,1
C0263,Customer 263,24,1201,4.61,0
C0264,Customer 264,45,573,6.09,1
C0265,Customer 265,51,74,10.7,0
C0266,Customer 266,19,1361,10.23,1
C0267,Customer 267,57,352,17.3,0
C0268,Customer 268,49,153,8.78,1
C0269,Customer 269,18,933,6.79,0
C0270,Customer 270,23,351,19.02,1
C0271,Customer 271,43,1287,5.6,0
C0272,Customer 272,59,666,0.57,0
C0273,Customer 273,65,7,11.68,0
C0274,Customer 274,42,1427,8.05,0
C0275,Customer 275,34,772,6.55,1
C0276,Customer 276,73,395,11.89,0
C0277,Customer 277,44,1016,4.65,0
C0278,Customer 278,35,796,0.61,0
C0279,Customer 279,43,45,12.06,0
C0280,Customer 280,18,1139,3.8,1
C0281,Customer 281,35,602,2.82,1
C0282,Customer 282,47,1050,0.66,0
C0283,Customer 283,70,1343,11.37,1
C0284,Customer 284,60,916,0.31,1
C0285,Customer 285,62,1007,15.28,1
C0286,Customer 286,49,382,5.03,1
C0287,Customer 287,24,357,11.74,1
C0288,Customer 288,40,623,8.98,0
C0289,Customer 289,74,1279,21.36,1
C0290,Customer 290,20,786,8.8,0
C0291,Customer 291,68,522,14.9,0
C0292,Customer 292,57,1169,4.17,1
C0293,Customer 293,34,1280,1.41,0
C0294,Customer 294,62,1353,13.01,1
C0295,Customer 295,65,449,1.37,1
C0296,Customer 296,20,1064,11.28,1
C0297,Customer 297,24,885,2.51,0
C0298,Customer 298,55,674,8.16,0
C0299,Customer 299,74,596,21.62,0
C0300,Customer 300,19,172,10.67,1
C0301,Customer 301,55,412,5.62,0
C0302,Customer 302,25,824,9.13,1
C0303,Customer 303,55,1329,4.3,0
C0304,Customer 304,53,1299,27.12,0
C0305,Customer 305,23,282,3.56,0
C0306,Customer 306,56,1019,6.12,0
C0307,Customer 307,69,128,10.01,0
C0308,Customer 308,67,1012,8.66,0
C0309,Customer 309,19,513,9.38,1
C0310,Customer 310,32,675,4.38,1
C0311,Customer 311,31,1076,5.44,1
C0312,Customer 312,43,637,12.61,0
C0313,Customer 313,26,1211,12.18,0
C0314,Customer 314,66,800,8.81,1
C0315,Customer 315,62,1498,16.15,1
C0316,Customer 316,64,957,12.95,1
C0317,Customer 317,29,445,11.93,0
C0318,Customer 318,18,1163,1.34,0
C0319,Customer 319,69,612,8.73,1
C0320,Customer 320,34,801,7.62,1
C0321,Customer 321,55,206,17.54,1
C0322,Customer 322,69,179,5.85,1
C0323,Customer 323,20,862,7.16,0
C0324,Customer 324,18,280,2.48,1
C0325,Customer 325,18,1496,2.97,1
C0326,Customer 326,26,1283,17.58,1
C0327,Customer 327,20,1051,9.35,1
C0328,Customer 328,64,1102,21.65,0
C0329,Customer 329,52,893,5.77,1
C0330,Customer 330,73,91,1.71,0
C0331,Customer 331,63,589,5.13,1
C0332,Customer 332,72,744,4.44,0
C0333,Customer 333,31,1373,10.94,1
C0334,Customer 334,34,330,10.63,1
C0335,Customer 335,66,745,9.68,0
C0336,Customer 336,31,516,26.08,0
C0337,Customer 337,21,202,15.53,1
C0338,Customer 338,56,155,3.16,0
C0339,Customer 339,63,548,13.24,1
C0340,Customer 340,73,124,6.81,1
C0341,Customer 341,70,101,5.64,1
C0342,Customer 342,24,526,16.84,0
C0343,Customer 343,62,303,2.98,0
C0344,Customer 344,66,832,12.64,1
C0345,Customer 345,57,27,11.3,1
C0346,Customer 346,64,453,2.93,1
C0347,Customer 347,65,680,1.29,0
C0348,Customer 348,43,1444,6.24,1
C0349,Customer 349,20,952,14.29,1
C0350,Customer 350,44,1321,8.71,1
C0351,Customer 351,29,515,17.2,0
C0352,Customer 352,24,675,8.28,1
C0353,Customer 353,25,631,17.96,1
C0354,Customer 354,57,1331,4.05,0
C0355,Customer 355,46,1438,9.66,1
C0356,Customer 356,48,1443,4.83,1
C0357,Customer 357,60,1128,6.09,0
C0358,Customer 358,49,755,7.15,1
C0359,Customer 359,53,811,8.69,1
C0360,Customer 360,22,1470,3.58,1
C0361,Customer 361,66,427,9.33,0
C0362,Customer 362,43,520,6.88,1
C0363,Customer 363,26,1345,1.82,1
C0364,Customer 364,64,580,1.07,0
C0365,Customer 365,59,353,14.33,1
C0366,Customer 366,21,841,5.86,0
C0367,Customer 367,29,488,1.62,0
C0368,Customer 368,18,1336,19.93,1
C0369,Customer 369,33,1363,10.02,0
C0370,Customer 370,23,459,8.52,0
C0371,Customer 371,58,794,3.3,0
C0372,Customer 372,47,1476,1.79,1
C0373,Customer 373,73,1113,7.63,0
C0374,Customer 374,60,324,6.55,1
C0375,Customer 375,52,886,2.52,1
C0376,Customer 376,47,930,2.44,1
C0377,Customer 377,21,980,2.32,1
C0378,Customer 378,22,38,2.24,0
C0379,Customer 379,53,449,3.93,0
C0380,Customer 380,18,1282,8.52,1
C0381,Customer 381,20,362,9.59,1
C0382,Customer 382,30,450,6.45,1
C0383,Customer 383,68,484,7.37,0
C0384,Customer 384,44,266,9.92,0
C0385,Customer 385,58,234,0.76,1
C0386,Customer 386,41,521,7.81,1
C0387,Customer 387,27,1311,16.0,0
C0388,Customer 388,39,3,5.74,1
C0389,Customer 389,23,425,13.93,1
C0390,Customer 390,61,91,5.82,0
C0391,Customer 391,28,842,10.39,1
C0392,Customer 392,39,376,8.4,0
C0393,Customer 393,73,1188,2.28,0
C0394,Customer 394,51,877,2.84,0
C0395,Customer 395,44,1175,17.96,1
C0396,Customer 396,48,952,12.01,1
C0397,Customer 397,62,658,6.14,1
C0398,Customer 398,32,1291,5.52,1
C0399,Customer 399,54,714,3.32,0
C0400,Customer 400,67,1424,8.92,0
C0401,Customer 401,50,1492,3.58,0
C0402,Customer 402,43,883,4.95,1
C0403,Customer 403,26,1012,3.92,1
C0404,Customer 404,32,384,11.5,1
C0405,Customer 405,71,1222,5.94,0
C0406,Customer 406,48,1007,7.42,0
C0407,Customer 407,35,1353,2.32,0
C0408,Customer 408,41,401,3.9,0
C0409,Customer 409,50,1181,7.54,0
C0410,Customer 410,48,705,1.37,1
C0411,Customer 411,57,278,5.59,1
C0412,Customer 412,32,257,6.6,0
C0413,Customer 413,55,843,2.04,0
C0414,Customer 414,43,479,13.52,1
C0415,Customer 415,71,153,8.62,0
C0416,Customer 416,27,641,5.91,0
C0417,Customer 417,26,979,3.66,1
C0418,Customer 418,44,479,1.31,1
C0419,Customer 419,46,1433,12.82,1
C0420,Customer 420,57,1169,4.58,0
C0421,Customer 421,41,769,1.71,1
C0422,Customer 422,70,1402,3.56,0
C0423,Customer 423,45,650,9.29,0
C0424,Customer 424,25,210,7.98,1
C0425,Customer 425,24,54,2.53,1
C0426,Customer 426,73,1407,14.39,0
C0427,Customer 427,25,1439,1.69,1
C0428,Customer 428,72,1109,16.43,0
C0429,Customer 429,33,155,7.73,0
C0430,Customer 430,23,441,4.87,0
C0431,Customer 431,35,62,5.45,1
C0432,Customer 432,53,77,7.08,1
C0433,Customer 433,42,369,9.81,0
C0434,Customer 434,62,858,1.06,0
C0435,Customer 435,52,99,3.46,0
C0436,Customer 436,40,1476,6.91,0
C0437,Customer 437,54,683,14.77,0
C0438,Customer 438,73,396,14.39,0
C0439,Customer 439,41,774,18.71,1
C0440,Customer 440,26,1185,13.93,0
C0441,Customer 441,41,469,3.23,0
C0442,Customer 442,65,72,6.58,1
C0443,Customer 443,30,77,13.98,0
C0444,Customer 444,72,1278,13.07,0
C0445,Customer 445,51,168,5.67,0
C0446,Customer 446,52,953,9.62,0
C0447,Customer 447,36,577,4.56,0
C0448,Customer 448,70,1166,1.55,1
C0449,Customer 449,20,91,6.07,0
C0450,Customer 450,35,1346,5.79,1
C0451,Customer 451,41,1047,4.38,1
C0452,Customer 452,45,674,9.84,0
C0453,Customer 453,45,311,5.52,0
C0454,Customer 454,26,1465,8.88,0
C0455,Customer 455,30,453,11.35,0
C0456,Customer 456,23,736,28.15,1
C0457,Customer 457,50,591,6.15,1
C0458,Customer 458,37,346,14.91,0
C0459,Customer 459,50,625,7.89,0
C0460,Customer 460,51,228,8.23,0
C0461,Customer 461,58,3,6.22,1
C0462,Customer 462,49,435,7.39,1
C0463,Customer 463,54,168,5.56,0
C0464,Customer 464,51,622,13.19,0
C0465,Customer 465,55,1294,3.58,0
C0466,Customer 466,53,244,1.53,0
C0467,Customer 467,36,2,4.26,0
C0468,Customer 468,32,167,3.88,0
C0469,Customer 469,62,762,4.26,0
C0470,Customer 470,37,412,5.96,0
C0471,Customer 471,49,734,4.27,0
C0472,Customer 472,29,44,5.9,1
C0473,Customer 473,42,500,4.28,1
C0474,Customer 474,48,615,9.02,0
C0475,Customer 475,53,647,27.98,0
C0476,Customer 476,48,827,7.77,1
C0477,Customer 477,38,1171,4.43,1
C0478,Customer 478,72,701,0.43,0
C0479,Customer 479,47,1261,22.11,1
C0480,Customer 480,64,795,8.1,0
C0481,Customer 481,59,391,5.86,0
C0482,Customer 482,49,344,0.47,1
C0483,Customer 483,68,484,6.1,1
C0484,Customer 484,25,896,7.34,1
C0485,Customer 485,70,364,4.29,0
C0486,Customer 486,66,1371,1.87,1
C0487,Customer 487,46,720,1.74,0
C0488,Customer 488,59,1295,22.34,1
C0489,Customer 489,47,1025,7.18,0
C0490,Customer 490,33,500,4.29,0
C0491,Customer 491,63,343,6.86,1
C0492,Customer 492,32,1116,6.51,1
C0493,Customer 493,35,496,1.65,1
C0494,Customer 494,47,371,12.59,0
C0495,Customer 495,65,1395,5.73,0
C0496,Customer 496,39,724,7.26,1
C0497,Customer 497,46,73,17.58,1
C0498,Customer 498,20,742,1.93,0
C0499,Customer 499,24,691,3.41,1
